7172,Pessina Mas.,Massimo Pessina,P,Por,1,1,1,1,Bologna,1,1,destro,Bologna,25/12/2007 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/7172.png?v=334,0,0.0,0.0
2722,Ravaglia F.,Federico Ravaglia,P,Por,3,3,3,3,Bologna,9,9,destro,Italia,11/11/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/2722.png?v=334,0,0.0,0.0
133,Skorupski,Lukasz Skorupski,P,Por,10,10,10,10,Bologna,49,49,destro,Polonia,05/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/133.png?v=334,0,6.0,5.0
5498,Casale,Nicolò Casale,D,Dc,4,4,4,4,Bologna,8,8,destro,Italia,14/02/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5498.png?v=334,0,5.5,5.5
4982,Erlic,Martin Erlic,D,Dc,3,3,3,3,Bologna,7,7,destro,Croazia,24/01/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4982.png?v=334,1,0.0,0.0
6551,Ilic M.,Mihajlo Ilic,D,Dc,1,1,1,1,Bologna,2,2,destro,Serbia,04/06/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6551.png?v=334,0,0.0,0.0
6042,Lucumì,Jhon Lucumì,D,Dc,8,8,8,8,Bologna,21,21,sinistro,Colombia,26/06/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6042.png?v=334,0,5.0,5.0
7068,Vitik,Martin Vitik,D,Dc,8,8,8,8,Bologna,18,18,destro,Repubblica Ceca,21/01/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/7068.png?v=334,0,6.0,6.0
6066,Posch,Stefan Posch,D,Dd;Dc,5,5,6,6,Bologna,10,12,destro,Austria,14/05/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6066.png?v=334,0,0.0,0.0
487,De Silvestri,Lorenzo De Silvestri,D,Dd;E,4,4,4,4,Bologna,10,10,destro,Italia,23/05/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/487.png?v=334,0,6.0,6.0
5678,Holm,Emil Holm,D,Dd;E,8,8,8,8,Bologna,15,15,destro,Svezia,13/05/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5678.png?v=334,0,0.0,0.0
2653,Lykogiannis,Charalampos Lykogiannis,D,Ds;E,5,5,5,5,Bologna,12,12,sinistro,Grecia,22/10/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/2653.png?v=334,0,5.0,5.0
4734,Miranda J.,Juan Miranda,D,Ds;E,9,9,9,9,Bologna,24,24,sinistro,Spagna,19/01/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4734.png?v=334,0,0.0,0.0
6225,El Azzouzi,Oussama El Azzouzi,C,M;C,3,3,3,3,Bologna,7,7,destro,Marocco;Olanda,29/05/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6225.png?v=334,1,0.0,0.0
788,Freuler,Remo Freuler,C,M;C,11,11,12,12,Bologna,23,28,destro,Svizzera,15/04/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/788.png?v=334,0,6.0,5.5
6054,Moro N.,Nikola Moro,C,M;C,3,3,3,3,Bologna,7,7,destro,Croazia,12/03/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6054.png?v=334,0,0.0,0.0
5298,Pobega,Tommaso Pobega,C,M;C,8,8,9,9,Bologna,22,24,ambidestro,Italia,15/07/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5298.png?v=334,0,5.0,5.0
5784,Aebischer,Michel Aebischer,C,C,4,4,4,4,Pisa,14,14,destro,Svizzera,06/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5784.png?v=334,0,0.0,0.0
6206,Fabbian,Giovanni Fabbian,C,C;T,10,10,10,10,Bologna,17,17,destro,Italia,14/01/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6206.png?v=334,0,6.0,6.0
5858,Ferguson,Lewis Ferguson,C,C;T,11,11,11,11,Bologna,23,23,destro,Scozia,24/08/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5858.png?v=334,0,0.0,0.0
5564,Ndoye,Dan Ndoye,C,W,19,19,18,18,Bologna,60,60,destro,Svizzera;Senegal,25/10/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5564.png?v=334,1,0.0,0.0
184,Bernardeschi,Federico Bernardeschi,C,W;A,9,9,8,8,Bologna,24,24,sinistro,Italia,16/02/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/184.png?v=334,0,0.0,0.0
2167,Orsolini,Riccardo Orsolini,C,W;A,30,30,29,29,Bologna,220,220,sinistro,Italia,24/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/2167.png?v=334,0,6.0,6.0
2765,Odgaard,Jens Odgaard,C,T;A,16,16,15,15,Bologna,78,78,sinistro,Danimarca,31/03/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/2765.png?v=334,0,5.0,5.0
6895,Dominguez B.,Benjamin Dominguez,A,W;A,9,9,9,9,Bologna,24,25,destro,Argentina,19/09/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6895.png?v=334,0,0.0,0.0
6459,Karlsson,Jesper Karlsson,A,W;A,3,3,3,3,Bologna,7,7,destro,Svezia,25/07/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6459.png?v=334,0,0.0,0.0
4436,Cambiaghi,Nicolò Cambiaghi,A,A,11,11,11,11,Bologna,26,26,destro,Italia,28/12/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4436.png?v=334,0,5.0,5.0
6572,Castro S.,Santiago Castro,A,Pc,19,19,19,19,Bologna,122,122,destro,Argentina,18/09/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6572.png?v=334,0,6.5,6.5
6643,Dallinga,Thijs Dallinga,A,Pc,10,10,10,10,Bologna,13,10,destro,Olanda,03/08/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6643.png?v=334,0,0.0,0.0
785,Immobile,Ciro Immobile,A,Pc,19,19,19,19,Bologna,140,140,destro,Italia,20/02/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/785.png?v=334,0,6.0,6.0
4360,Caprile,Elia Caprile,P,Por,7,7,7,7,Cagliari,18,18,destro,Italia,25/08/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4360.png?v=334,0,0.0,0.0
4929,Ciocci,Giuseppe Ciocci,P,Por,1,1,1,1,Cagliari,1,1,destro,Italia,24/01/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4929.png?v=334,0,0.0,0.0
3,Radunovic,Boris Radunovic,P,Por,1,1,1,1,Cagliari,1,1,destro,Serbia,26/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/3.png?v=334,0,0.0,0.0
393,Luperto,Sebastiano Luperto,D,Dc,7,7,7,7,Cagliari,18,18,sinistro,Italia,06/09/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/393.png?v=334,0,0.0,0.0
4210,Mina,Yerry Mina,D,Dc,7,7,7,7,Cagliari,21,21,destro,Colombia,23/09/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4210.png?v=334,0,0.0,0.0
6464,Wieteska,Mateusz Wieteska,D,Dc,1,1,1,1,Cagliari,2,2,destro,Polonia,11/02/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6464.png?v=334,1,0.0,0.0
5701,Obert,Adam Obert,D,Ds;Dc,4,4,4,4,Cagliari,10,11,sinistro,Slovacchia,23/08/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5701.png?v=334,0,0.0,0.0
6636,Veroli,Davide Veroli,D,Ds;Dc,1,1,1,1,Cagliari,1,1,sinistro,Italia,29/01/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6636.png?v=334,1,0.0,0.0
4461,Zappa,Gabriele Zappa,D,B;Dd;E,6,6,7,7,Cagliari,13,16,destro,Italia,22/12/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4461.png?v=334,0,0.0,0.0
5406,Di Pardo,Alessandro Di Pardo,D,Dd;E,2,2,2,2,Cagliari,4,4,destro,Italia,18/07/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5406.png?v=334,0,0.0,0.0
7125,Idrissi R.,Riyad Idrissi,D,Ds;E,3,3,3,3,Cagliari,7,7,sinistro,Italia;Marocco,13/06/2005 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/7125.png?v=334,0,0.0,0.0
4433,Zortea,Nadir Zortea,D,E,16,16,15,15,Bologna,41,25,destro,Italia,19/06/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4433.png?v=334,0,5.5,5.5
4870,Adopo,Michel Adopo,C,M;C,5,5,6,6,Cagliari,14,15,destro,Francia;Costa d''Avorio,19/07/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4870.png?v=334,0,0.0,0.0
1871,Deiola,Alessandro Deiola,C,M;C,5,5,5,5,Cagliari,11,12,destro,Italia,01/08/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/1871.png?v=334,0,0.0,0.0
7165,Liteta,Joseph Liteta,C,M;C,1,1,1,1,Cagliari,6,8,destro,Zambia,22/02/2006 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/7165.png?v=334,0,0.0,0.0
6424,Prati,Matteo Prati,C,M;C,3,3,3,3,Cagliari,11,16,destro,Italia,28/12/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6424.png?v=334,0,0.0,0.0
6252,Folorunsho,Michael Folorunsho,C,C;T,9,9,9,9,Cagliari,27,27,destro,Italia;Nigeria,07/02/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6252.png?v=334,0,0.0,0.0
6640,Felici,Mattia Felici,C,W,6,6,5,5,Cagliari,13,10,destro,Italia,17/04/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6640.png?v=334,0,0.0,0.0
4364,Gaetano,Gianluca Gaetano,C,T,8,8,7,7,Cagliari,12,10,destro,Italia,05/05/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4364.png?v=334,0,0.0,0.0
5297,Luvumbo,Zito Luvumbo,A,A,12,12,12,12,Cagliari,20,20,sinistro,Angola,09/03/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5297.png?v=334,0,0.0,0.0
6243,Borrelli,Gennaro Borrelli,A,Pc,5,5,4,4,Cagliari,10,8,destro,Italia,10/03/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6243.png?v=334,0,0.0,0.0
247,Pavoletti,Leonardo Pavoletti,A,Pc,1,1,1,1,Cagliari,3,3,destro,Italia,26/11/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/247.png?v=334,0,0.0,0.0
4359,Piccoli,Roberto Piccoli,A,Pc,17,17,17,17,Cagliari,86,83,destro,Italia,27/01/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4359.png?v=334,0,0.0,0.0
6966,Butez,Jean Butez,P,Por,10,10,10,10,Como,32,32,destro,Francia,08/06/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6966.png?v=334,0,0.0,0.0
2809,Vigorito,Mauro Vigorito,P,Por,1,1,1,1,Como,1,1,destro,Italia,22/05/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/2809.png?v=334,0,0.0,0.0
6230,Dossena,Alberto Dossena,D,Dc,4,4,4,4,Como,11,11,destro,Italia,13/10/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6230.png?v=334,0,0.0,0.0
418,Goldaniga,Edoardo Goldaniga,D,Dc,4,4,4,4,Como,6,6,ambidestro,Italia,02/11/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/418.png?v=334,0,0.0,0.0
6893,Kempf,Marc Oliver Kempf,D,Dc,5,5,5,5,Como,15,15,sinistro,Germania,28/01/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6893.png?v=334,0,0.0,0.0
7014,Smolcic I.,Ivan Smolcic,D,Dd;Dc,2,2,2,2,Como,5,6,destro,Croazia,17/08/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/7014.png?v=334,0,0.0,0.0
6944,Jack,Fellipe Jack,D,Ds;Dc,2,2,2,2,Como,4,5,sinistro,Brasile;Italia,12/01/2006 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6944.png?v=334,0,0.0,0.0
6896,Van Der Brempt,Ignace Van der Brempt,D,Dd;E,4,4,4,4,Como,8,8,destro,Belgio,01/04/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6896.png?v=334,0,0.0,0.0
4994,Vojvoda,Mergim Vojvoda,D,Dd;E,6,6,6,6,Como,10,10,destro,Kosovo;Belgio,01/02/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/4994.png?v=334,0,0.0,0.0
5435,Moreno Alb.,Alberto Moreno,D,Ds;E,3,3,3,3,Como,7,7,sinistro,Spagna,05/07/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/5435.png?v=334,0,0.0,0.0
6867,Valle,Alex Valle,D,Ds;E,6,6,6,6,Como,13,13,sinistro,Spagna,25/04/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/20/card/6867.png?v=334,0,0.0,0.0
